,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Micronesia,0.061290188,0.25810052,0.069861512,0.018900784,0.008285721,0.061351513,0.002493421,0,0,0.014851938,0.077151608,4.76023599,0.126187865,0.006767934,0,0.365184207,0.189191574,0.285271916,0.008806419,0,0.003602636,0.005004707,0.046458318,0.049289655,0.020227998,0.741994882,0.154367308,0.030150895,0.061075507,0,0,0.005692904,0.004391419,0.051285008,0,0.089927726,0.157267085,0.46966455,0.013714699,0,0.193386853,0,0.086115031,0.032324601,0.328497229,0,0.010950237,0.256504147,0.040562466,0.128783222,0
Bahamas,0.121985326,0.008719612,0.044850668,0.133655547,0.00636481,0.02502252,0.050635631,0.035113515,0.157124202,0.405786678,0.276397507,0.012323239,0,0.026338542,0.016861606,0.018787612,0.016174409,0.074295469,0.081329873,0.006231953,0.06703086,0.039519928,0.056070384,0.055450862,0.247070552,0.07607203,0,0.245414259,0.016502296,0.049623587,0.024045245,0.005175367,0.033690418,0.116141926,0,0.07481692,0.071485039,0.000487963,0.05731183,0,0.14247558,0.03437312,0.150917312,0.032490475,0.017766824,0.031614444,0.031634019,0.016610823,0.267036236,0.024726379,0
Barbados,0.067835742,0.015695302,0.063424122,0.010800448,0.007588076,0.025578576,0.212132604,0.155816225,0.108288302,0.151036268,0.182766915,0.016559352,0,0.022672578,0.078406466,0.032291208,0.010782939,0.060116944,0.126398019,0.083092711,0.184389451,0.280349881,0.009757703,0.018908532,0.013003713,0.010142937,0,0.014023672,0.010888113,0.133136453,0.15992075,0,0.592521368,0.113859923,0.009262404,0.077396813,0.046255025,0.002195834,0.221330705,0.057314318,0.106001831,0,0.010944385,0.04157205,0,0.087817901,0.087601898,0.015234236,0,0.039493521,0
Cuba,1.212117606,0.721983886,0.835699866,0.360464959,0.312267502,0.479320277,0.655769777,0.441113537,0.494728908,22.81781389,1.126469649,0.075479836,0.114539754,0.403932846,0.438401745,0.447967122,0.679815318,7.010429723,3.395651701,0.280437899,0.342032061,0.312103884,0.857949688,0.292763556,1.45063646,1.098558142,0.403070194,2.656083469,3.885865358,0.4357193,2.203617518,1.104940923,0.550322575,1.004321392,0.071011763,0.367266308,0.375086203,0.646063235,0.639127255,0.419405954,1.383342895,0.555698777,1.277612972,1.237250547,0.249491566,0.16861037,0.581672859,0.293213148,0.790968091,0.491780196,0.342430217
Dominica,0.030942619,0.390638624,0.00643739,0.196433152,0.004998191,0.007043376,0.177800112,0.172275685,0.072192201,0.1484967,0.184077743,0.000385101,0,0.008008722,0.03035089,0,0,0,0.414937759,0,0.045851729,0.263782575,0.004806033,0.021245541,0,0.053445478,0.283006732,0,0.008846592,0.070199221,0.125492331,0.010350735,0.218701819,0.061614073,0,0.009766741,0.029435016,0,0.22378374,0.357371633,0.037993488,0,0.039457389,0.034916375,0.00302414,0.03512716,0.028264715,0.0073418,0,0.007555282,0
Dominican_Republic,0.259441962,1.634055317,0.161778999,0.168081975,0.054311131,0.356802604,4.330689028,2.689475821,2.519295489,2.957009423,1.147536532,0.136325826,0.079595422,0.21352831,0.576385883,0.206076618,0.245066805,0.265989122,1.737972762,0.643968508,1.51529046,7.844705667,0.492691189,0.349914062,1.77139472,0.314431059,0.737532696,0.326751557,0.278327382,5.571155382,9.069727236,0.115928228,11.13538082,1.674629655,0.632930933,1.024954944,0.348594688,0.048796317,7.689151339,18.75998786,0.674004476,0.9767695,0.470032545,0.252127743,0.509189606,0.512856541,0.626409726,0.120772614,0.621957815,0.559434315,0
Grenada,0.039273324,0.095915734,0.008231417,0.011475476,0.005562041,0.004263096,0.026276823,0.059254057,0.105103352,0.078590558,0.054212113,0.075094735,0,0.007839523,0.05114687,0.031704095,0.010292806,0.032894177,0.009842469,0,0.113646784,0.041245689,0.015146285,0.019120987,0,0,0,0.100970438,0.002551901,0,0.061851921,0,0.525597971,0.098126115,0.04631202,0.010688131,0.01850201,0.005123613,0.091319822,0,0.087005087,0,0.046945652,0.019863353,0.006804315,0,0.027422389,0.00036709,0.108166577,0.002060532,0
Haiti,0.690853481,0.265076209,0.151964618,0.163356779,0.049265156,0.174601586,2.532165134,4.53293538,0.316371705,7.417465742,1.240792602,0.082796759,0.203841935,0.236426486,0.55587093,0.349919272,0.355837001,0.599468022,0.868727369,0.332370843,0.968999865,5.060103943,0.24991371,0.281290964,0.271633122,0.422102241,0.566013464,0.144443821,0.122661395,0.579748735,2.377597781,0.162506534,2.872399771,0.584432898,0.722467504,0.30700736,0.219501119,0.129798203,1.886607318,2.366069923,0.358658526,0.401019736,0.428271075,0.091147496,0.091858259,0.456653084,0.36931313,0.204377365,0.246755003,0.191286012,0.025941683
Jamaica,0.928873629,0.268564054,0.232695821,0.160656667,0.148970951,0.360880348,7.388198829,3.003302865,2.400390687,5.078002149,4.1836021,0.165978619,0.159190845,0.41070078,0.58622182,0.160868927,0.246047072,0.539918218,0.652711082,1.74910156,3.117262521,1.756220721,0.608618528,0.200345452,1.13421277,0.757209288,0.192959136,0.173893532,0.338722382,1.086877587,2.264028711,0.189935981,5.193379112,1.252339053,1.333786162,0.758120216,0.373404202,0.195917212,2.434526252,0.600788915,2.239716113,0.495545817,0.597045016,0.349205217,0.167839781,1.264577772,0.985802128,0.212820435,1.615738237,0.477699897,0.072636713
St_Vincent,0.037488173,0.00697569,0.00105531,0.012825532,0.002580328,0.008155488,0.035866905,0.025237839,0.076438801,0.063421174,0.057395553,0,0,0.002707174,0.016580579,0,0,0.005104269,0.006216296,0.008309271,0.043449971,0.025196111,0.007427505,0.008923127,0,0.011313276,0.017151923,0.006310652,0,0.014523977,0.059516949,0.003622757,0.309000373,0.024981924,0,0.025798938,0.006307503,0.005855558,0.116296184,0,0.004939153,0,0.010656375,0.007858258,0,0,0.039402136,0.002294313,0.087885343,0,0
Trinidad_and_Tobago,0.315971747,0.143001639,0.140039616,0.914662959,0.052696037,0.058571233,0.590173619,1.058891949,1.457645473,1.027300582,0.769175311,0.119766475,0.019413518,0.080820409,0.139108246,0.030529869,0.134296609,0.191126512,0.519578742,0.097633935,1.325114957,0.528341742,0.181027239,0.210968223,0.231177125,0.184523438,0,0.043473383,0.146649268,0.198494348,0.71857525,0.045543232,2.094706899,0.386619297,0.021612276,0.264439113,0.149698081,0.128578295,0.828456996,0.273760156,0.412229344,0,0.249416779,0.220694711,0.034021577,0.101868765,0.451486705,0.123158699,0.58815576,0.069714651,0
Belize,0.022611914,0.104635346,0.041579208,0.09180381,0.152946568,0.027246744,0.078446867,0.001097297,0.131644602,0.087887191,0.065915937,0.00654672,0.008736083,0.265359403,0.05114687,0.020548951,0.041171223,0.055579817,0.424780228,0,0.041375727,0.013978664,0.011359714,0.056300684,0.241291124,0.058907059,0.252990867,0.094659786,0.170467015,0.00847232,0.052611393,0.010868271,0.162230914,0.059692386,0.135848591,0.013083747,0.066018536,0.064899101,0.061994898,0.024948586,0.086625152,0.00859328,0.116356096,0.090546205,0.054812541,0,0.054096044,0.034414689,0.010140617,0.042584319,0.326865207
Costa_Rica,0.186250766,0.001743922,0.133285633,0.239634945,0.124132902,0.164407226,0.395494963,0.143745954,0.342912955,0.349689436,0.292501969,0.052373764,0.194135176,0.077210844,0.096954232,0.103331866,0.084302981,0.212110729,0.418563932,0.137102973,0.232206254,0.199584264,0.146656822,0.134059364,0.326537689,0.136149429,0.257278847,0.201239693,0.203131353,0.094405848,0.68210994,0.109717787,0.161041571,0.345543249,0.018524808,0.216342521,0.140026576,0.186645912,0.268607389,0.041805738,0.548246031,0.03437312,0.20938337,0.109621659,0.18636264,0,0.180257752,0.122883382,0.65575987,0.209143952,0.181591782
El_Salvador,1.576883483,1.025426389,1.083275555,9.970163762,4.159728053,1.969550373,1.244600784,1.391373048,13.1538437,1.097682894,2.324004917,0.092424289,1.187136603,0.569465226,2.485681687,2.415382357,1.920833619,0.787191688,2.902492217,0.519329442,11.54786702,3.676216165,0.461816069,1.522030564,0.982502781,1.300636664,0,3.590761205,4.282430839,1.084456924,2.310976555,0.721963741,2.368187096,3.897540482,0.34888388,1.306716201,1.57393235,1.025454599,0.906285123,1.599406628,1.153862228,4.193520667,2.670429999,4.496934657,3.065722127,0.38991148,10.32906867,1.131187876,2.454029205,0.49074993,0.835322196
Guatemala,7.686265642,0.25810052,1.412532227,2.427400737,2.650341153,1.12304778,2.903684893,5.137546224,2.804879343,1.923133174,3.321545242,0.316168089,1.516195727,1.349300393,1.763161888,2.897402026,3.073627871,3.227599349,2.99055641,0.675128274,4.277857109,2.429785255,1.089513091,1.649716266,4.406813946,2.28684227,0.750396638,6.654232344,2.447103337,0.790346397,2.1077843,0.862216196,1.415203413,2.373162688,0.277872117,1.767595797,3.804265554,1.593687708,1.470706296,9.483833991,3.444869549,6.32465412,4.423547709,1.624648141,2.094217088,0.27399185,3.042855672,1.115861868,1.071525149,0.788496739,2.230984746
Honduras,2.211207179,0.205782847,0.35162924,1.226525901,0.586002102,0.758089688,1.315567388,1.064378436,1.640249275,2.3547917,1.948078092,0.074709634,0.415449277,0.621634715,1.4135646,1.184206664,1.557644614,2.372350743,17.26887034,0.27005131,2.400774676,1.013798322,0.369773257,0.740194652,3.389634596,1.705964047,0.184383174,1.432518091,0.786496018,1.079615599,1.626581323,0.571360552,1.185294327,4.333162784,0.271697181,0.763280003,1.532302827,0.30180522,0.913421226,0.339840194,4.454356523,0.810632752,3.563837447,2.554452128,0.862635992,0.091330617,2.879163664,0.402973062,1.010681449,0.784719098,0.03113002
